0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
0.13522333f, 0.13516903f, 0.13511816f, 0.13506752f, 0.13501489f, 0.13496453f, 0.13491341f, 0.13486141f, 0.13481218f, 0.13476211f, 
0.13471097f, 0.13465726f, 0.13460875f, 0.1345514f, 0.13450181f, 0.13445154f, 0.1344006f, 0.13434899f, 0.13429683f, 0.13424754f, 
0.13419566f, 0.13414574f, 0.13409299f, 0.13404217f, 0.1339904f, 0.13394034f, 0.13389191f, 0.13384134f, 0.1337906f, 0.13373765f, 
0.13368678f, 0.13363597f, 0.13358402f, 0.13353288f, 0.13348168f, 0.13342988f, 0.13337827f, 0.13332653f, 0.1332773f, 0.13322699f, 
0.13317537f, 0.1331225f, 0.13307023f, 0.13302216f, 0.13297164f, 0.13292122f, 0.13287067f, 0.13281941f, 0.13276955f, 0.13271809f, 
0.132667f, 0.13261974f, 0.13256973f, 0.13251668f, 0.13246989f, 0.1324178f, 0.1323666f, 0.13231552f, 0.13226295f, 0.13221034f, 
0.1321585f, 0.13210845f, 0.13205838f, 0.13200802f, 0.1319577f, 0.13190785f, 0.13185827f, 0.13180608f, 0.1317522f, 0.13170213f, 
0.13165036f, 0.13160124f, 0.13155353f, 0.13150597f, 0.1314561f, 0.1314047f, 0.1313551f, 0.13130313f, 0.13125199f, 0.13120288f, 
0.13115406f, 0.13110316f, 0.13105333f, 0.13100472f, 0.13095427f, 0.13090682f, 0.13085869f, 0.13080907f, 0.13075851f, 0.1307095f, 
0.13066189f, 0.13061085f, 0.13056251f, 0.13050917f, 0.13046089f, 0.13041136f, 0.13035989f, 0.1303109f, 0.13026309f, 0.13021348f, 
0.13016343f, 0.13011293f, 0.13006476f, 0.1300185f, 0.12996906f, 0.12992013f, 0.12987131f, 0.1298216f, 0.12976891f, 0.12971902f, 
0.12967193f, 0.12962145f, 0.12957132f, 0.12952226f, 0.12947176f, 0.12942463f, 0.12937522f, 0.12932861f, 0.12927681f, 0.12922758f, 
0.12917802f, 0.12913013f, 0.12908113f, 0.12903064f, 0.12898025f, 0.12893045f, 0.12888026f, 0.12883079f, 0.12878168f, 0.12873489f, 
0.1286836f, 0.12863272f, 0.12858272f, 0.1285305f, 0.12848043f, 0.12843016f, 0.12838113f, 0.12833214f, 0.12828374f, 0.1282332f, 
0.12818483f, 0.12813443f, 0.12808573f, 0.12803678f, 0.1279894f, 0.12794209f, 0.12789452f, 0.12784523f, 0.1277973f, 0.12774846f, 
0.12770015f, 0.12764952f, 0.12759615f, 0.1275469f, 0.12749517f, 0.12744713f, 0.12740141f, 0.12735029f, 0.12730022f, 0.12725186f, 
0.12720281f, 0.12715602f, 0.12710729f, 0.12705801f, 0.12700957f, 0.12695825f, 0.12691069f, 0.12686038f, 0.12680683f, 0.12675667f, 
0.1267063f, 0.1266554f, 0.1266098f, 0.12655789f, 0.12651f, 0.1264607f, 0.12641233f, 0.12636599f, 0.12631625f, 0.12626773f, 
0.12621927f, 0.12617189f, 0.12612242f, 0.12607151f, 0.12602201f, 0.12597269f, 0.1259265f, 0.1258778f, 0.12582877f, 0.12577872f, 
0.12572789f, 0.125682f, 0.12563488f, 0.12558669f, 0.12553555f, 0.12548938f, 0.12544149f, 0.12539244f, 0.12534451f, 0.12529817f, 
0.12525189f, 0.12520182f, 0.12515318f, 0.12510484f, 0.12505758f, 0.12500972f, 0.12495893f, 0.12491059f, 0.12486327f, 0.12481448f, 
0.12476299f, 0.12471324f, 0.124668196f, 0.12461841f, 0.124572664f, 0.12452416f, 0.12447575f, 0.124427915f, 0.12437882f, 0.12432958f, 
0.12428117f, 0.12423046f, 0.124181464f, 0.12413424f, 0.12408543f, 0.12403709f, 0.123986915f, 0.123936564f, 0.12389004f, 0.12384346f, 
0.123797074f, 0.12374847f, 0.123698995f, 0.12364906f, 0.12360017f, 0.12354946f, 0.12350461f, 0.12345396f, 0.12340514f, 0.12335554f, 
0.12330675f, 0.12325785f, 0.12321177f, 0.12316406f, 0.12311286f, 0.12306777f, 0.12302047f, 0.12297088f, 0.12292071f, 0.12287217f, 
0.12282503f, 0.12277913f, 0.12273154f, 0.12268293f, 0.12263655f, 0.12258798f, 0.12253973f, 0.12249023f, 0.12244132f, 0.12239036f, 
0.122341886f, 0.122293234f, 0.122241735f, 0.12219238f, 0.122145295f, 0.12209773f, 0.1220513f, 0.12200397f, 0.121956766f, 0.121910185f, 
0.1218594f, 0.121812426f, 0.12176275f, 0.12171388f, 0.12166621f, 0.12161887f, 0.121571906f, 0.12152366f, 0.12147486f, 0.121424526f, 
0.12137771f, 0.12133056f, 0.1212827f, 0.12123537f, 0.12118551f, 0.12113652f, 0.121091306f, 0.12104504f, 0.12099779f, 0.120949626f, 
0.120901585f, 0.12085378f, 0.12080784f, 0.12076098f, 0.12071395f, 0.120666385f, 0.12061888f, 0.12056875f, 0.12052032f, 0.12047209f, 
0.120423555f, 0.120376974f, 0.120328076f, 0.12028217f, 0.12023488f, 0.12018639f, 0.12013785f, 0.12008962f, 0.12004246f, 0.11999446f, 
0.11994569f, 0.11989915f, 0.119853094f, 0.11980796f, 0.11975998f, 0.11971259f, 0.11966655f, 0.119619f, 0.11957246f, 0.119526505f, 
0.119478405f, 0.11943116f, 0.1193861f, 0.11933839f, 0.11929172f, 0.11924291f, 0.1191957f, 0.11914806f, 0.11910036f, 0.119051695f, 
0.11900112f, 0.11895579f, 0.118907556f, 0.11886132f, 0.11881465f, 0.11876804f, 0.118719816f, 0.118670225f, 0.118625045f, 0.11857808f, 
0.11853145f, 0.11848396f, 0.11843771f, 0.11838803f, 0.118340924f, 0.11829214f, 0.11824526f, 0.11819668f, 0.11814758f, 0.11809978f, 
0.11805242f, 0.11800265f, 0.11795403f, 0.117907524f, 0.117861636f, 0.11781567f, 0.11776808f, 0.117722034f, 0.11767495f, 0.11762863f, 
0.117578804f, 0.11753026f, 0.11748673f, 0.11743954f, 0.11739425f, 0.117348075f, 0.11730299f, 0.11725712f, 0.117209494f, 0.117164016f, 
0.117113695f, 0.11706536f, 0.11701989f, 0.11697067f, 0.11692369f, 0.11687744f, 0.116829515f, 0.11678362f, 0.116737604f, 0.11669332f, 
0.11664677f, 0.11660048f, 0.11655426f, 0.11650926f, 0.1164625f, 0.116413176f, 0.11636436f, 0.116317734f, 0.11626899f, 0.11622119f, 
0.11617232f, 0.11612288f, 0.116075575f, 0.11602998f, 0.11598425f, 0.11593707f, 0.11588724f, 0.11584312f, 0.11579856f, 0.11575202f, 
0.11570424f, 0.11565852f, 0.11561136f, 0.11556402f, 0.11551738f, 0.115470156f, 0.1154207f, 0.11537633f, 0.11532843f, 0.115279794f, 
0.115231276f, 0.11518389f, 0.1151368f, 0.115088075f, 0.11503969f, 0.11499417f, 0.11494529f, 0.11489923f, 0.11485207f, 0.114803195f, 
0.11475688f, 0.1147089f, 0.11466229f, 0.11461681f, 0.11456841f, 0.114519656f, 0.11447543f, 0.11442697f, 0.114379406f, 0.114332676f, 
0.11428779f, 0.11424013f, 0.114192486f, 0.114145756f, 0.11409891f, 0.11405074f, 0.11400226f, 0.1139577f, 0.11391044f, 0.113865316f, 
0.1138176f, 0.11377184f, 0.11372289f, 0.113679826f, 0.11363159f, 0.11358589f, 0.11354376f, 0.113497615f, 0.113451056f, 0.113406f, 
0.11335918f, 0.11331293f, 0.11326623f, 0.113220274f, 0.11317593f, 0.1131289f, 0.113081664f, 0.11303522f, 0.11298728f, 0.11294177f, 
0.112892866f, 0.11284469f, 0.11279678f, 0.11275053f, 0.112706184f, 0.112658516f, 0.11261231f, 0.11256564f, 0.11251879f, 0.11247468f, 
0.112427115f, 0.11238301f, 0.1123358f, 0.11228913f, 0.11224136f, 0.11219585f, 0.11214852f, 0.112101614f, 0.11205569f, 0.1120106f, 
0.11196485f, 0.11191811f, 0.111874044f, 0.111828625f, 0.11178103f, 0.11173618f, 0.11168953f, 0.11164175f, 0.11159611f, 0.11155239f, 
0.111506104f, 0.11145915f, 0.11141313f, 0.11136614f, 0.11131808f, 0.11127174f, 0.1112259f, 0.111178875f, 0.11113268f, 0.11108428f, 
0.11103703f, 0.1109907f, 0.11094576f, 0.11089915f, 0.11085391f, 0.1108055f, 0.11075705f, 0.1107111f, 0.11066559f, 0.11062002f, 
0.11057067f, 0.11052501f, 0.11047858f, 0.11043057f, 0.11038317f, 0.11033732f, 0.11029172f, 0.110244006f, 0.11019847f, 0.110153526f, 
0.11010791f, 0.11006063f, 0.110014975f, 0.10996789f, 0.10992193f, 0.10987374f, 0.10982767f, 0.109783456f, 0.1097371f, 0.10969019f, 
0.109644055f, 0.109599f, 0.10955453f, 0.109510064f, 0.10946339f, 0.10941765f, 0.109371856f, 0.10932518f, 0.10927856f, 0.10923484f, 
0.10918653f, 0.10914056f, 0.10909681f, 0.109051704f, 0.109004885f, 0.10896009f, 0.10891473f, 0.10886869f, 0.10882284f, 0.10877654f, 
0.108730584f, 0.10868245f, 0.10863477f, 0.108588696f, 0.10854316f, 0.10849655f, 0.10845202f, 0.10840589f, 0.10836041f, 0.10831237f, 
0.10826698f, 0.108221754f, 0.10817708f, 0.10813439f, 0.10808706f, 0.10804024f, 0.10799668f, 0.10795021f, 0.10790354f, 0.107857764f, 
0.107812524f, 0.10776734f, 0.10772346f, 0.107676975f, 0.10763171f, 0.10758543f, 0.107540086f, 0.107492566f, 0.107443765f, 0.10739565f, 
0.10734692f, 0.10730147f, 0.10725516f, 0.10720861f, 0.10716188f, 0.10711712f, 0.10707098f, 0.1070247f, 0.106980115f, 0.10693696f, 
0.10689294f, 0.10684459f, 0.10679579f, 0.10674815f, 0.10670254f, 0.10665846f, 0.10661349f, 0.10656731f, 0.106520966f, 0.10647642f, 
0.10642913f, 0.106383055f, 0.10633868f, 0.10629316f, 0.10624845f, 0.10620201f, 0.10615826f, 0.10611391f, 0.106065944f, 0.106021956f, 
0.10597551f, 0.10592848f, 0.10588187f, 0.10583414f, 0.105790414f, 0.105745375f, 0.1057013f, 0.105654955f, 0.105608225f, 0.10556558f, 
0.10552162f, 0.10547489f, 0.10542649f, 0.10538007f, 0.10533476f, 0.10528797f, 0.10524264f, 0.10519683f, 0.10515034f, 0.105106466f, 
0.10506356f, 0.105017304f, 0.10497022f, 0.104925156f, 0.10487753f, 0.1048336f, 0.104787946f, 0.10474168f, 0.104694605f, 0.10464853f, 
0.10460472f, 0.104558766f, 0.10451162f, 0.104463935f, 0.104420066f, 0.10437336f, 0.10432874f, 0.1042811f, 0.104236126f, 0.1041912f, 
0.10414791f, 0.104100585f, 0.1040567f, 0.10401209f, 0.10396707f, 0.103922606f, 0.1038775f, 0.10383323f, 0.10378742f, 0.103740364f, 
0.10369594f, 0.10365099f, 0.10360694f, 0.10356164f, 0.10351695f, 0.10347235f, 0.10342696f, 0.1033811f, 0.10333578f, 0.10329187f, 
0.1032477f, 0.10320431f, 0.10316078f, 0.10311502f, 0.10306881f, 0.10302548f, 0.10298011f, 0.10293627f, 0.10289052f, 0.10284501f, 
0.10279846f, 0.10275459f, 0.10270855f, 0.10266264f, 0.10261953f, 0.102573395f, 0.10252917f, 0.10248256f, 0.102436095f, 0.102392614f, 
0.10234705f, 0.10230067f, 0.10225749f, 0.1022113f, 0.10216655f, 0.10212278f, 0.102075815f, 0.10202971f, 0.101985574f, 0.10194087f, 
0.10189402f, 0.10184759f, 0.101804346f, 0.10176134f, 0.10171516f, 0.10167116f, 0.101625055f, 0.101579964f, 0.10153511f, 0.101488054f, 
0.10144305f, 0.10139763f, 0.10135266f, 0.10130581f, 0.10125899f, 0.10121555f, 0.10117024f, 0.10112403f, 0.10108042f, 0.1010378f, 
0.10099435f, 0.10094942f, 0.10090408f, 0.10085964f, 0.10081467f, 0.10077003f, 0.100723274f, 0.100679755f, 0.10063359f, 0.10058999f, 
0.10054684f, 0.10050154f, 0.10045713f, 0.100412846f, 0.10036847f, 0.10032481f, 0.1002821f, 0.100235164f, 0.10019153f, 0.10014731f, 
0.100101754f, 0.10005924f, 0.10001165f, 0.0999676f, 0.09992397f, 0.09987974f, 0.099833935f, 0.09978901f, 0.099744454f, 0.09969807f, 
0.099654704f, 0.09961026f, 0.09956697f, 0.099523276f, 0.09947887f, 0.09943497f, 0.099389456f, 0.09934449f, 0.09929997f, 0.0992551f, 
0.099209994f, 0.09916562f, 0.0991227f, 0.0990808f, 0.099036455f, 0.09899376f, 0.09894632f, 0.09890017f, 0.098857045f, 0.098813176f, 
0.098769814f, 0.0987283f, 0.09868407f, 0.09863679f, 0.098590344f, 0.098546326f, 0.0985028f, 0.098459065f, 0.098414615f, 0.09836712f, 
0.098321825f, 0.098274335f, 0.09823084f, 0.098187044f, 0.09814204f, 0.0980999f, 0.09805703f, 0.098011196f, 0.09796616f, 0.09791994f, 
0.09787327f, 0.09782922f, 0.09778619f, 0.09774172f, 0.09769744f, 0.09765464f, 0.0976094f, 0.09756321f, 0.097518384f, 0.09747517f, 
0.09743118f, 0.09738886f, 0.09734649f, 0.09730281f, 0.09726003f, 0.09721727f, 0.09717405f, 0.097128935f, 0.097084224f, 0.09703815f, 
0.09699273f, 0.0969501f, 0.09690267f, 0.09685987f, 0.096815586f, 0.09677087f, 0.096727885f, 0.09668527f, 0.09664264f, 0.096600115f, 
0.09655504f, 0.09651074f, 0.09646568f, 0.09642346f, 0.096379474f, 0.09633461f, 0.09629008f, 0.09624443f, 0.0961991f, 0.09615654f, 
0.09611416f, 0.09607075f, 0.09602654f, 0.09598413f, 0.09594309f, 0.09589943f, 0.09585488f, 0.095811024f, 0.09576824f, 0.09572339f, 
0.095678926f, 0.095636845f, 0.095590845f, 0.09554738f, 0.09550387f, 0.09546137f, 0.09541881f, 0.09537676f, 0.095332086f, 0.095288575f, 
0.09524402f, 0.09520018f, 0.09515773f, 0.0951148f, 0.09507322f, 0.095030785f, 0.09498787f, 0.09494439f, 0.09489992f, 0.09485412f, 
0.09481186f, 0.09476662f, 0.09472704f, 0.09468001f, 0.094635904f, 0.094591945f, 0.09454745f, 0.09450513f, 0.09446263f, 0.09441772f, 
0.09437364f, 0.09433064f, 0.094284385f, 0.09424007f, 0.094195485f, 0.094151706f, 0.09410977f, 0.09406406f, 0.0940219f, 0.09397578f, 
0.0939337f, 0.093887985f, 0.09384192f, 0.09379947f, 0.09375608f, 0.093712986f, 0.09367009f, 0.09362757f, 0.09358239f, 0.09353976f, 
0.09349406f, 0.09345161f, 0.09340918f, 0.09336293f, 0.09331846f, 0.09327653f, 0.093233615f, 0.093188316f, 0.09314641f, 0.0931054f, 
0.09306133f, 0.09301861f, 0.09297326f, 0.0929313f, 0.09288645f, 0.09284139f, 0.0927981f, 0.092755266f, 0.09271145f, 0.09267089f, 
0.09262779f, 0.09258366f, 0.09253833f, 0.09249616f, 0.092455655f, 0.09241164f, 0.09236749f, 0.092325054f, 0.092280746f, 0.092235446f, 
0.09219062f, 0.09214938f, 0.09210622f, 0.09206121f, 0.09201808f, 0.09197068f, 0.091928005f, 0.091884166f, 0.09183892f, 0.091794655f, 
0.091749996f, 0.09170486f, 0.09165998f, 0.0916152f, 0.09157038f, 0.091527775f, 0.09148443f, 0.0914399f, 0.09139633f, 0.09135282f, 
0.09130907f, 0.09126431f, 0.091219485f, 0.09117542f, 0.09113169f, 0.091087f, 0.09104534f, 0.09100196f, 0.09095827f, 0.090915576f, 
0.09087199f, 0.09082842f, 0.09078622f, 0.09074283f, 0.09069665f, 0.0906499f, 0.09060791f, 0.09056437f, 0.09052181f, 0.0904789f, 
0.09043555f, 0.09039137f, 0.09034914f, 0.09030482f, 0.09026063f, 0.09021582f, 0.090169996f, 0.0901258f, 0.090079546f, 0.09003812f, 
0.089992404f, 0.08994757f, 0.08990395f, 0.089860916f, 0.08981521f, 0.0897727f, 0.08973062f, 0.08968674f, 0.08964288f, 0.08960275f, 
0.08955923f, 0.08951482f, 0.08947158f, 0.08942747f, 0.08938396f, 0.0893397f, 0.08929569f, 0.08925215f, 0.089208245f, 0.08916457f, 
0.08912313f, 0.089080036f, 0.08903754f, 0.088992104f, 0.08894843f, 0.08890474f, 0.08885983f, 0.08881669f, 0.088772655f, 0.088730305f, 
0.08868605f, 0.08864313f, 0.088597976f, 0.08855617f, 0.08851218f, 0.088469565f, 0.08842778f, 0.08838393f, 0.08834386f, 0.08830047f, 
0.08825868f, 0.0882138f, 0.08817124f, 0.08813086f, 0.08808783f, 0.088044226f, 0.08800015f, 0.08795595f, 0.08791354f, 0.087871194f, 
0.08783132f, 0.08778706f, 0.08774328f, 0.087702096f, 0.08766022f, 0.08761683f, 0.08757443f, 0.08753252f, 0.08748907f, 0.087444544f, 
0.08739948f, 0.087355494f, 0.087313175f, 0.08726756f, 0.08722463f, 0.08718002f, 0.087138236f, 0.08709505f, 0.08705035f, 0.08700454f, 
0.086962126f, 0.086916715f, 0.086872905f, 0.08682755f, 0.08678505f, 0.08674231f, 0.08669913f, 0.08665645f, 0.08661443f, 0.08657164f, 
0.08652797f, 0.08648478f, 0.08644077f, 0.08639724f, 0.08635533f, 0.08631289f, 0.08626822f, 0.08622548f, 0.08618426f, 0.08613955f, 
0.08609915f, 0.086057246f, 0.08601272f, 0.08597112f, 0.08592701f, 0.08588177f, 0.0858354f, 0.08579138f, 0.08575046f, 0.08570671f, 
0.08566469f, 0.08562125f, 0.085577175f, 0.0855324f, 0.085491836f, 0.085449934f, 0.085409164f, 0.085368395f, 0.08532673f, 0.085283995f, 
0.08524102f, 0.08519626f, 0.085152626f, 0.08510828f, 0.0850665f, 0.085023746f, 0.0849787f, 0.08493489f, 0.08489177f, 0.08485031f, 
0.08480708f, 0.0847646f, 0.08472316f, 0.084679335f, 0.084637195f, 0.08459449f, 0.084552824f, 0.084507644f, 0.08446491f, 0.08442246f, 
0.08437945f, 0.08433676f, 0.0842942f, 0.08425403f, 0.084212065f, 0.084168196f, 0.08412465f, 0.084082305f, 0.084040165f, 0.08399588f, 
0.08395445f, 0.08391444f, 0.08387126f, 0.08382833f, 0.083786786f, 0.083743215f, 0.08370137f, 0.08365828f, 0.08361471f, 0.08357024f, 
0.08352738f, 0.08348396f, 0.08344014f, 0.083397985f, 0.083354235f, 0.08331242f, 0.083268166f, 0.083226144f, 0.083184116f, 0.08314073f, 
0.08309761f, 0.08305526f, 0.083012015f, 0.08296931f, 0.08292868f, 0.08288757f, 0.08284284f, 0.08280124f, 0.08275843f, 0.08271469f, 
0.08267307f, 0.082633555f, 0.08259225f, 0.082550645f, 0.08250725f, 0.08246797f, 0.08242716f, 0.08238694f, 0.082343966f, 0.08230317f, 
0.082259834f, 0.08221704f, 0.082175374f, 0.0821349f, 0.08209479f, 0.0820511f, 0.082012504f, 0.081973076f, 0.081933685f, 0.08189005f, 
0.0818454f, 0.08180231f, 0.0817585f, 0.08171725f, 0.08167194f, 0.08163047f, 0.081587374f, 0.08154679f, 0.08150476f, 0.08146289f, 
0.081418395f, 0.081374094f, 0.081332386f, 0.081290156f, 0.08124765f, 0.08120537f, 0.08116263f, 0.08112041f, 0.08108005f, 0.08103815f, 
0.08099553f, 0.080954716f, 0.08091563f, 0.08087022f, 0.08082859f, 0.08078663f, 0.08074559f, 0.08070187f, 0.08066052f, 0.080616415f, 
0.08057344f, 0.0805317f, 0.08048949f, 0.08044914f, 0.080408f, 0.08036533f, 0.08032352f, 0.0802829f, 0.08023918f, 0.08019779f, 
0.080154955f, 0.08011314f, 0.08007156f, 0.08002834f, 0.079986244f, 0.07994291f, 0.07990053f, 0.07985741f, 0.07981463f, 0.07977152f, 
0.07972887f, 0.07968514f, 0.079644084f, 0.079602554f, 0.07956189f, 0.079519704f, 0.07947813f, 0.07943669f, 0.07939494f, 0.0793525f, 
0.079307735f, 0.079262376f, 0.07922083f, 0.07917842f, 0.079137534f, 0.07909565f, 0.0790534f, 0.07901049f, 0.07896896f, 0.07892555f, 
0.0788822f, 0.07883912f, 0.07879608f, 0.07875359f, 0.078712285f, 0.07866984f, 0.07863003f, 0.07858979f, 0.07854991f, 0.07850647f, 
0.07846451f, 0.07842302f, 0.07837844f, 0.07833755f, 0.078296304f, 0.0782536f, 0.078211546f, 0.07816893f, 0.07812619f, 0.07808411f, 
0.07804167f, 0.077997f, 0.07795575f, 0.07791251f, 0.077870965f, 0.07782646f, 0.077783585f, 0.07774162f, 0.07770002f, 0.077658474f, 
0.07761499f, 0.07757339f, 0.077530816f, 0.07748824f, 0.07744717f, 0.07740593f, 0.07736111f, 0.07732248f, 0.077279925f, 0.077240005f, 
0.0772005f, 0.077159196f, 0.07711801f, 0.0770767f, 0.07703531f, 0.076994926f, 0.076952346f, 0.07690993f, 0.076870665f, 0.076828375f, 
0.07678674f, 0.07674558f, 0.076703906f, 0.07666148f, 0.07662177f, 0.07657993f, 0.076538324f, 0.07649654f, 0.07645273f, 0.076411605f, 
0.07636964f, 0.0763282f, 0.07628608f, 0.076242685f, 0.07619882f, 0.076156795f, 0.076115236f, 0.07607409f, 0.07603142f, 0.07598826f, 
0.07594657f, 0.07590476f, 0.07586345f, 0.07582173f, 0.07578105f, 0.07573697f, 0.075696215f, 0.075654894f, 0.07561374f, 0.07557315f, 
0.07553145f, 0.07548879f, 0.07544734f, 0.07540807f, 0.07536644f, 0.07532693f, 0.0752821f, 0.075240254f, 0.07519902f, 0.07515627f, 
0.07511693f, 0.07507518f, 0.07503468f, 0.074992895f, 0.07495093f, 0.074908465f, 0.07486588f, 0.074824125f, 0.07478243f, 0.07474112f, 
0.07470095f, 0.074661136f, 0.07461858f, 0.07457781f, 0.074536115f, 0.07449228f, 0.07445173f, 0.07440907f, 0.074368f, 0.074326485f, 
0.07428336f, 0.07423939f, 0.07419813f, 0.07415706f, 0.07411432f, 0.07407376f, 0.074033685f, 0.07399356f, 0.07395099f, 0.073908344f, 
0.07386491f, 0.07382664f, 0.07378787f, 0.07374495f, 0.07370244f, 0.07366172f, 0.073622406f, 0.073580325f, 0.073542476f, 0.073498905f, 
0.073456645f, 0.073415f, 0.073373705f, 0.073331594f, 0.07328954f, 0.07324579f, 0.073203325f, 0.07316035f, 0.07311964f, 0.073079616f, 
0.0730375f, 0.07299435f, 0.07295117f, 0.07291019f, 0.07286715f, 0.07282451f, 0.07278293f, 0.07273996f, 0.07269739f, 0.07265505f, 
0.07261151f, 0.07256937f, 0.07252604f, 0.07248622f, 0.07244286f, 0.07240176f, 0.07236084f, 0.07232031f, 0.07228025f, 0.0722357f, 
0.07219434f, 0.07215142f, 0.07211083f, 0.072069645f, 0.07202867f, 0.07198841f, 0.071944915f, 0.0719032f, 0.07186115f, 0.07182079f, 
0.07178112f, 0.071739554f, 0.071700096f, 0.07165855f, 0.07161772f, 0.07157686f, 0.07153581f, 0.071496695f, 0.071454674f, 0.07141295f, 
0.0713737f, 0.071332455f, 0.07128912f, 0.07124928f, 0.07120812f, 0.071165204f, 0.07112336f, 0.07108432f, 0.07104383f, 0.071002305f, 
0.07096152f, 0.07091731f, 0.07087676f, 0.07083571f, 0.07079518f, 0.07075441f, 0.07071251f, 0.070672095f, 0.07063079f, 0.07059306f, 
0.07055193f, 0.070510566f, 0.07046804f, 0.07042742f, 0.07038733f, 0.07034309f, 0.07030141f, 0.07026088f, 0.07021904f, 0.07018025f, 
0.07013704f, 0.070093274f, 0.07005143f, 0.07001124f, 0.06997174f, 0.0699327f, 0.06989038f, 0.06984931f, 0.06980762f, 0.06976539f, 
0.069726706f, 0.06968415f, 0.06964259f, 0.06960292f, 0.06955992f, 0.06951851f, 0.06947635f, 0.06943503f, 0.069393635f, 0.069352716f, 
0.06931186f, 0.06927168f, 0.069230616f, 0.069185615f, 0.06914604f, 0.0691057f, 0.069065094f, 0.069024384f, 0.06898415f, 0.0689441f, 
0.06890088f, 0.06885892f, 0.06881881f, 0.068777084f, 0.068735406f, 0.06869376f, 0.06865263f, 0.06861061f, 0.06856945f, 0.068528354f, 
0.06848947f, 0.06844783f, 0.0684033f, 0.06836209f, 0.0683226f, 0.068282396f, 0.068240374f, 0.06819949f, 0.06815633f, 0.06811613f, 
0.068075016f, 0.06803419f, 0.06799434f, 0.06795204f, 0.06791027f, 0.067869306f, 0.06782773f, 0.06778728f, 0.06774676f, 0.06770505f, 
0.06766236f, 0.0676204f, 0.06757882f, 0.067537844f, 0.06749746f, 0.06745547f, 0.0674139f, 0.067372665f, 0.067332864f, 0.067292154f, 
0.06725055f, 0.0672093f, 0.06716902f, 0.06713049f, 0.06708908f, 0.067047775f, 0.06700742f, 0.066966295f, 0.06692511f, 0.06688552f, 
0.06684363f, 0.06680277f, 0.06676048f, 0.06671864f, 0.066677935f, 0.06663823f, 0.066598065f, 0.06655674f, 0.06651616f, 0.066473514f, 
0.06643391f, 0.066393465f, 0.066351295f, 0.06631078f, 0.06626728f, 0.06622582f, 0.06618333f, 0.06614339f, 0.06610304f, 0.066063315f, 
0.06602195f, 0.06598139f, 0.06594026f, 0.06589937f, 0.06585625f, 0.06581476f, 0.06577587f, 0.06573637f, 0.06569672f, 0.065657645f, 
0.06561898f, 0.06558043f, 0.06553984f, 0.06550038f, 0.06546131f, 0.06542054f, 0.06538114f, 0.06534326f, 0.065304264f, 0.06526511f, 
0.065223545f, 0.065182626f, 0.06514239f, 0.06510061f, 0.065059304f, 0.06501685f, 0.06497443f, 0.06493245f, 0.06489256f, 0.064850986f, 
0.064812094f, 0.06477153f, 0.06473175f, 0.06469196f, 0.06464897f, 0.06460889f, 0.06456745f, 0.06452879f, 0.06448522f, 0.064447194f, 
0.06440586f, 0.06436497f, 0.064323455f, 0.064281225f, 0.06424132f, 0.06420093f, 0.06415886f, 0.06411661f, 0.064074755f, 0.06403333f, 
0.0639921f, 0.06395239f, 0.06391098f, 0.06387097f, 0.06382936f, 0.06378919f, 0.063749254f, 0.06370826f, 0.06366819f, 0.06362754f, 
0.063587844f, 0.06354627f, 0.06350708f, 0.0634689f, 0.063428804f, 0.063388824f, 0.06335035f, 0.06330812f, 0.063269734f, 0.063227534f, 
0.06318563f, 0.06314552f, 0.06310484f, 0.06306511f, 0.06302406f, 0.06298441f, 0.06294513f, 0.06290479f, 0.06286648f, 0.06282389f, 
0.06278548f, 0.06274254f, 0.062701166f, 0.06265968f, 0.0626204f, 0.06257948f, 0.062537186f, 0.062496364f, 0.062458307f, 0.06241758f, 
0.062375367f, 0.062333316f, 0.062293407f, 0.062253952f, 0.062214375f, 0.062172897f, 0.062132165f, 0.06208861f, 0.06204784f, 0.062006652f, 
0.06196527f, 0.061926126f, 0.06188494f, 0.06184262f, 0.061800987f, 0.06176299f, 0.061724097f, 0.061683714f, 0.061642975f, 0.061604403f, 
0.061564803f, 0.061523966f, 0.061484158f, 0.061444044f, 0.061404288f, 0.06136266f, 0.06132494f, 0.061285138f, 0.061243154f, 0.061201513f, 
0.061160386f, 0.061120346f, 0.061082482f, 0.061041772f, 0.061004102f, 0.06096345f, 0.060924172f, 0.060884565f, 0.060844183f, 0.06080264f, 
0.06076297f, 0.060722183f, 0.06068193f, 0.060640335f, 0.060599566f, 0.060559556f, 0.060518406f, 0.060480356f, 0.06043674f, 0.06039405f, 
0.06035608f, 0.060314894f, 0.060275324f, 0.060236022f, 0.060196728f, 0.060155272f, 0.060114697f, 0.06007266f, 0.060034454f, 0.059992105f, 
0.059951447f, 0.059911072f, 0.05986911f, 0.059826583f, 0.059785694f, 0.059742928f, 0.05970341f, 0.059662275f, 0.059622467f, 0.059580497f, 
0.059542656f, 0.059503436f, 0.059461713f, 0.059421062f, 0.059380054f, 0.059339643f, 0.059298337f, 0.059256047f, 0.059214063f, 0.059173048f, 
0.059132814f, 0.059093058f, 0.0590533f, 0.05901158f, 0.058971003f, 0.058930837f, 0.058889627f, 0.05885154f, 0.058814734f, 0.05877555f, 
